"word","freq"
"tickets",81
"gas",81
"draintheswamp",81
"reason",80
"pass",80
"conference",80
"started",80
"false",80
"finally",80
"billions",80
"giving",80
"horrible",80
"hell",80
"announced",80
"buy",80
"tuesday",80
"dead",80
"votes",80
"waste",80
"abc",79
"police",79
"fighting",79
"information",79
"foreign",79
"laws",79
"loser",79
"yankees",79
"newsmax",79
"billmaher",79
"politicians",78
"gets",78
"talent",78
"james",78
"beginning",78
"able",78
"romney",78
"charity",78
"negative",77
"months",77
"democrat",77
"’re",77
"rate",77
"along",77
"mess",77
"monday",77
"speak",77
"lose",76
"asked",76
"boring",76
"saturday",76
"meet",76
"wife",76
"everybody",76
"workers",76
"continues",76
"possible",76
"instead",76
"forget",76
"exciting",75
"thousands",75
"growth",75
"service",75
"speaking",75
"stated",75
"gone",75
"honored",75
"create",75
"tune",75
"center",74
"angry",74
"actually",74
"seanhannity",74
"’m",74
"lie",74
"part",74
"television",74
"taken",74
"lots",74
"oreillyfactor",74
"god",73
"please",73
"number",73
"enforcement",73
"ads",73
"allow",73
"cost",73
"using",73
"march",73
"minutes",73
"face",72
"second",72
"mark",72
"absolutely",72
"policy",72
"chinese",72
"mind",72
"asking",72
"visit",72
"repeal",72
"magazine",72
"prayers",71
"prime",71
"records",71
"air",71
"send",71
"mistake",71
"weekend",71
"failure",71
"macys",71
"turbines",71
"dangerous",70
"reform",70
"investigation",70
"sorry",70
"choice",70
"term",70
"trumpdoral",70
"gretawire",70
"trumpvlog",70
"supreme",69
"2nd",69
"minister",69
"fully",69
"etc",69
"perhaps",69
"save",69
"least",69
"based",69
"credit",69
"comes",69
"raise",69
"questions",69
"rod",69
"eric",69
"young",69
"marco",69
"unfair",68
"amendment",68
"level",68
"bigger",68
"final",68
"michigan",68
"pres",68
"joke",68
"california",68
"dnc",68
"try",68
"website",68
"positive",67
"force",67
"children",67
"large",67
"putin",67
"wisconsin",67
"haters",67
"award",67
"miami",67
"midas",67
"higher",66
"word",66
"increase",66
"secretary",66
"signed",66
"knew",66
"interest",66
"dopey",66
"school",65
"happening",65
"starting",65
"laughing",65
"someone",65
"price",65
"arizona",65
"class",65
"truth",65
"private",65
"friday",65
"blue",65
"alabama",65
"pageant",65
"respected",64
"paying",64
"nations",64
"vegas",64
"’ve",64
"middle",64
"watched",64
"george",64
"early",64
"twitter",64
"movement",64
"four",64
"chicago",64
"safety",63
"destroy",63
"maybe",63
"federal",63
"paul",63
"brave",63
"matter",62
"dinner",62
"tariffs",62
"bob",62
"wanted",62
"worth",62
"food",62
"follow",61
"voters",61
"death",61
"ridiculous",61
"street",61
"poor",61
"incompetent",61
"son",61
"line",61
"opportunity",61
"confidence",60
"met",60
"caught",60
"happened",60
"intelligence",60
"chuck",60
"entire",60
"defense",60
"worked",60
"amnesty",60
"beach",60
"named",59
"candidates",59
"tom",59
"las",59
"room",59
"policies",59
"answer",59
"omarosa",59
"deficit",59
"greta",59
"votetrump",59
"imwithyou",59
"dummy",59
"luxury",59
"leading",58
"five",58
"nfl",58
"sanders",58
"freedom",58
"standing",58
"hate",58
"surprise",58
"daca",58
"ties",58
"wins",57
"correct",57
"understand",57
"pence",57
"wish",57
"question",57
"woman",57
"sold",57
"leave",57
"especially",57
"loved",57
"hall",57
"brand",57
"episode",57
"means",56
